@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Negative,Neutral,Positive}

@DATA
0.015659,0.118769,3.028658,0.082900,0.138902,0.104333,0.026864,0.017744,-27.505245,2.279039,-0.214075,-0.273689,-0.007180,0.049142,0.162890,-0.252160,0.011801,-0.005798,-0.304004,0.130824,-0.073536,0.013140,0.005403,0.012751,0.009537,0.083292,0.012232,0.017294,0.002005,0.008267,0.011467,0.010603,0.005072,0.033086,0.012729,0.144416,0.474501,0.031746,0.037308,0.091825,0.027451,0.014926,5.300012,1.011128,0.764507,0.649205,0.554698,0.414535,0.444063,0.381933,0.391744,0.300852,0.299752,0.379177,0.259053,0.024053,0.011699,0.022288,0.016110,0.061167,0.023661,0.031559,0.004833,0.017264,0.016096,0.017225,0.009109,0.012439,Negative
0.038595,0.073474,2.964265,0.096121,0.142662,0.234181,0.020161,0.054673,-29.427366,2.649973,-0.008110,-0.338203,-0.144649,-0.237882,-0.076318,0.100816,0.066954,-0.150135,-0.145327,-0.177117,-0.180062,0.018610,0.008909,0.018217,0.008211,0.058397,0.007182,0.017729,0.002436,0.006012,0.018336,0.013497,0.006840,0.029461,0.047434,0.113287,0.405927,0.039928,0.034176,0.286821,0.015190,0.065897,3.804966,0.853033,0.674070,0.493277,0.423154,0.349753,0.402194,0.357231,0.293433,0.338045,0.299168,0.390448,0.238937,0.024370,0.015149,0.026052,0.010467,0.022451,0.013199,0.026155,0.006194,0.011148,0.024480,0.014345,0.013143,0.009249,Negative
0.042249,0.120441,2.908792,0.099050,0.143988,0.265270,0.024274,0.059346,-26.531974,2.587467,-0.097479,-0.473460,-0.144819,-0.138710,0.004275,0.042855,0.017364,0.038294,-0.171251,-0.053786,-0.096260,0.021469,0.008229,0.019579,0.011607,0.043421,0.015720,0.023152,0.002986,0.008522,0.014991,0.014491,0.009359,0.027565,0.051915,0.168820,0.434180,0.046034,0.039553,0.377035,0.022918,0.076620,5.198141,1.305046,0.845191,0.566163,0.521919,0.349798,0.352897,0.310796,0.355966,0.336424,0.351146,0.317471,0.382713,0.031902,0.015520,0.026333,0.015717,0.049903,0.027457,0.037399,0.005228,0.013881,0.022457,0.023635,0.015167,0.014853,Negative
0.039923,0.114003,2.805193,0.105000,0.150540,0.290400,0.027200,0.061113,-27.112138,2.230170,0.084952,-0.449716,-0.128595,-0.142357,-0.036376,0.073388,-0.037153,-0.026329,-0.172969,-0.068543,-0.183735,0.022378,0.009752,0.024075,0.015959,0.040262,0.010756,0.017302,0.003223,0.008025,0.013986,0.016678,0.011021,0.026439,0.039734,0.159876,0.564097,0.042718,0.037531,0.350854,0.032596,0.067677,5.359669,1.320618,0.997067,0.678434,0.607783,0.364065,0.338183,0.327538,0.315341,0.282789,0.333757,0.334415,0.350986,0.026894,0.016522,0.035958,0.029407,0.045762,0.018323,0.024384,0.005242,0.013151,0.023688,0.024253,0.021049,0.012772,Negative
0.034429,0.098921,2.987618,0.096182,0.153882,0.195184,0.020298,0.042504,-28.542958,2.799342,0.088207,-0.289299,-0.117688,-0.098870,-0.084849,-0.002921,-0.103160,0.029645,-0.241440,0.001277,-0.028361,0.015401,0.005913,0.022942,0.018587,0.059014,0.012984,0.015871,0.002782,0.007963,0.016892,0.013325,0.008350,0.029351,0.035942,0.122436,0.371804,0.031115,0.033096,0.269512,0.014248,0.055114,3.759970,0.741020,0.744702,0.560077,0.469411,0.390858,0.329148,0.268897,0.351467,0.334896,0.347955,0.332984,0.317617,0.022192,0.009417,0.022561,0.031080,0.040749,0.020800,0.019574,0.006283,0.012383,0.023875,0.016612,0.017539,0.012510,Negative
0.044623,0.016254,2.950808,0.101429,0.147426,0.285775,0.017353,0.057577,-30.509229,2.780137,0.193016,-0.263027,0.251029,-0.147633,0.095912,-0.042538,0.038393,0.060747,-0.001379,0.030956,-0.030009,0.014001,0.007791,0.036491,0.015622,0.041255,0.010180,0.028454,0.002744,0.008717,0.018047,0.018135,0.004393,0.024695,0.040359,0.023323,0.333902,0.037671,0.035326,0.344091,0.011185,0.058833,3.753326,1.116499,1.004437,0.591415,0.462233,0.323759,0.401511,0.285019,0.287742,0.233829,0.309160,0.198890,0.265623,0.018500,0.012447,0.033928,0.019442,0.040014,0.015380,0.029322,0.005537,0.011583,0.024132,0.022532,0.005122,0.012517,Negative
0.032341,0.018439,2.920128,0.093371,0.146991,0.217608,0.012397,0.049256,-31.253377,2.895669,-0.185484,-0.078211,0.151905,0.000834,0.147585,0.009449,0.020521,0.092829,-0.033568,0.096716,-0.030621,0.015536,0.005379,0.040093,0.015850,0.050421,0.010547,0.029619,0.005320,0.008000,0.014485,0.016740,0.004396,0.023189,0.021785,0.030324,0.423947,0.033885,0.036391,0.300082,0.007078,0.047668,3.304296,0.720809,0.724401,0.459714,0.413282,0.280422,0.266784,0.217311,0.225963,0.208193,0.226027,0.210275,0.171297,0.016782,0.006846,0.030148,0.018897,0.034589,0.014039,0.020158,0.007868,0.006796,0.016176,0.013032,0.004310,0.008694,Negative
0.009182,0.020100,3.134080,0.054840,0.124938,0.055054,0.019027,0.014780,-33.191645,3.225983,0.040843,-0.081004,0.165608,0.130577,0.051661,0.084458,-0.015171,0.036681,0.008275,0.004467,-0.037576,0.006249,0.002578,0.016800,0.008090,0.114805,0.004563,0.010700,0.001589,0.005027,0.011282,0.005045,0.001658,0.039181,0.011410,0.049693,0.228523,0.028584,0.035731,0.125698,0.033070,0.021562,4.051765,0.589799,0.765603,0.399142,0.455453,0.234031,0.229313,0.189893,0.208841,0.226812,0.147169,0.160749,0.193856,0.013220,0.005784,0.031207,0.014618,0.045460,0.007734,0.013882,0.003736,0.010570,0.021373,0.007248,0.003271,0.008007,Negative
0.036647,0.017944,2.822907,0.097958,0.159406,0.192603,0.015872,0.047489,-30.355662,3.120146,-0.093781,-0.236546,0.010378,0.114724,0.093777,0.061505,-0.048982,0.073787,-0.089426,0.047075,-0.023767,0.019013,0.004799,0.039564,0.022762,0.046914,0.015596,0.025756,0.004773,0.007689,0.014326,0.015685,0.004640,0.024414,0.033546,0.033544,0.440234,0.034979,0.033778,0.251992,0.008342,0.053611,3.675046,0.848477,0.730300,0.391277,0.393786,0.285007,0.337972,0.265104,0.277091,0.225547,0.205721,0.199237,0.171128,0.022095,0.005552,0.032915,0.027517,0.032792,0.017637,0.023619,0.009754,0.009607,0.016529,0.016183,0.007553,0.010528,Negative
0.036105,0.027215,2.906932,0.095888,0.153512,0.204753,0.017933,0.049281,-30.016437,3.087883,0.136504,-0.295426,-0.080763,-0.059389,0.115539,0.039999,0.009726,0.108214,-0.055575,0.091594,0.012424,0.018684,0.004307,0.038781,0.018576,0.048732,0.014819,0.026800,0.002673,0.007000,0.014614,0.015413,0.005055,0.025522,0.032836,0.041209,0.419284,0.034873,0.037958,0.286162,0.010346,0.054467,3.772159,0.739602,0.806459,0.580936,0.359101,0.350276,0.301712,0.282625,0.313616,0.233775,0.214989,0.190431,0.225775,0.025526,0.005642,0.038137,0.019596,0.037066,0.022702,0.027141,0.005131,0.009860,0.015436,0.013810,0.006322,0.012003,Negative
